S.No,Heading,Summary,Time,Source
1,"Indo Farm Equipment IPO: Price Band, Financials, Key Dates, GMP And More — All You Need To Know","The market value at the upper end of Indo Farm's IPO price band is Rs 1,033 crore, as per NDTV Profit's calculations.",39 minutes ago,— Bloomberg Quint
2,Adani Enterprises to exit Adani Wilmar Ltd; AEL to raise over $2 billion,"The proceeds will be utilised for growth of AEL in the core infrastructure businesses - Energy & Utility, Transport & Logistics along with Primary Industry adjacent businesses",47 minutes ago,— The Hindu Business
3,"Stock Market Dec. 30 Highlights: Nifty, Sensex Gainers And Losers",Benchmark indices ended they session lower.,54 minutes ago,— Bloomberg Quint
4,Factors that could impact Sensex's prospects in CY25,,54 minutes ago,— Economic Times
5,"Budget 2025: Fuel Excise Cut, Tax Relief, STT Abolition Among India Inc.'s Key Demands",Assocham's recommendations to the finance minister were largely around the issues that small enterprises in the country face.,55 minutes ago,— Bloomberg Quint
6,Rupee Closes Flat Against US Dollar After Strong Opening,"The rupee had opened at 85.48 against the dollar, marking a gain of 6 paise from its previous close of 85.54.",59 minutes ago,— Bloomberg Quint
7,"Rupee slips to record closing low on weaker yuan, broad-based dollar bids","The Indian rupee slipped to its weakest closing level on record on Monday, pressured by a decline in the offshore Chinese yuan and broad-based dollar bids amid a prevailing bearish bias on the local currency.",1 hour ago,— Economic Times
8,"Market Wrap: Banks, auto stocks drag D-St lower, Sensex ends 451 points lower, Nifty below 23,650","India's benchmark indices ended in red on Monday, pressured by selling in heavyweight lenders like HDFC Bank and ICICI Bank, along with declines in auto stocks. The session saw subdued trading volumes as markets approach year-end.",1 hour ago,— Economic Times
9,5 sectors to go for in next 12 months; avoid junk stocks while looking for value: Prashant Khemka,"Prashant Khemka, Founder of White Oak Capital Management, highlights their focus on sectors like healthcare, private sector financials, IT, and consumer goods for alpha generation. He emphasizes cash flow-driven valuation and good governance. Khemka warns against stocks with low PE ratios and weak governance being clubbed as value. He suggests a structural quality bias in their portfolio.",1 hour ago,— Economic Times
10,Adani Enterprises To Raise Over $2 Billion In Exit From Adani Wilmar Joint Venture,Adani’s nominee directors Pranav Adani and Malay Mahadevia will step down from the board of Adani Wilmar.,1 hour ago,— Bloomberg Quint
11,"KEC International Secures Rs 1,073-Crore New Orders, Stock Jumps Over 5%","The orders span several sectors, including T&D, civil, transportation, and cables business, KEC International said in a filing.",1 hour ago,— Bloomberg Quint
12,"NUCFDC Aims To Double Profit Of Urban Cooperative Banks In Five Years, Says Chairman","""We are planning to double the profit of urban cooperative banks in next five years and have few products to help with compliance,"" NUCFDC Chairman Jyotindra Mehta said.",1.5 hours ago,— Bloomberg Quint
13,Rupee Volatility Surge Puts RBI’s Currency Strategy In Focus,"The rupee’s one-month implied volatility versus the greenback rose to as much as 4.09% on Monday, the highest since August 2023.",1.5 hours ago,— Bloomberg Quint
